Round,Pick,Team,Player,Position,College/Univ
1,1,CHI,Caleb Williams,QB,USC
1,2,WAS,Jayden Daniels,QB,LSU
1,3,NWE,Drake Maye,QB,North Carolina
1,4,ARI,Marvin Harrison Jr.,WR,Ohio St.
1,5,LAC,Joe Alt,OL,Notre Dame
1,6,NYG,Malik Nabers,WR,LSU
1,7,TEN,JC Latham,OL,Alabama
1,8,ATL,Michael Penix,QB,Washington
1,9,CHI,Rome Odunze,WR,Washington
1,10,MIN,J.J. McCarthy,QB,Michigan
1,11,NYJ,Olumuyiwa Fashanu,OL,Penn St.
1,12,DEN,Bo Nix,QB,Oregon
1,13,LVR,Brock Bowers,TE,Georgia
1,14,NOR,Taliese Fuaga,OL,Oregon St.
1,15,IND,Laiatu Latu,DL,UCLA
1,16,SEA,Byron Murphy,DL,Texas
1,17,MIN,Dallas Turner,LB,Alabama
1,18,CIN,Amarius Mims,OL,Georgia
1,19,LAR,Jared Verse,DL,Florida St.
1,20,PIT,Troy Fautanu,OL,Washington
1,21,MIA,Chop Robinson,DE,Penn St.
1,22,PHI,Quinyon Mitchell,CB,Toledo
1,23,JAX,Brian Thomas,WR,LSU
1,24,DET,Terrion Arnold,DB,Alabama
1,25,GNB,Jordan Morgan,OL,Arizona
1,26,TAM,Graham Barton,OL,Duke
1,27,ARI,Darius Robinson,DL,Missouri
1,28,KAN,Xavier Worthy,WR,Texas
1,29,DAL,Tyler Guyton,OL,Oklahoma
1,30,BAL,Nate Wiggins,CB,Clemson
1,31,SFO,Ricky Pearsall,WR,Florida
1,32,CAR,Xavier Legette,WR,South Carolina
2,33,BUF,Keon Coleman,WR,Florida St.
2,34,LAC,Ladd McConkey,WR,Georgia
2,35,ATL,Ruke Orhorhoro,DT,Clemson
2,36,WAS,Jer'Zhan Newton,DL,Illinois
2,37,NWE,Ja'Lynn Polk,WR,Washington
2,38,TEN,T'Vondre Sweat,DL,Texas
2,39,LAR,Braden Fiske,DL,Florida St.
2,40,PHI,Cooper DeJean,DB,Iowa
2,41,NOR,Kool-Aid McKinstry,DB,Alabama
2,42,HOU,Kamari Lassiter,DB,Georgia
2,43,ARI,Max Melton,DB,Rutgers
2,44,LVR,Jackson Powers-Johnson,OL,Oregon
2,45,GNB,Edgerrin Cooper,LB,Texas A&M
2,46,CAR,Jonathon Brooks,RB,Texas
2,47,NYG,Tyler Nubin,DB,Minnesota
2,48,JAX,Maason Smith,DT,LSU
2,49,CIN,Kris Jenkins,DL,Michigan
2,50,WAS,Mike Sainristil,DB,Michigan
2,51,PIT,Zach Frazier,OL,West Virginia
2,52,IND,Adonai Mitchell,WR,Texas
2,53,WAS,Ben Sinnott,TE,Kansas St.
2,54,CLE,Michael Hall,DT,Ohio St.
2,55,MIA,Patrick Paul,OL,Houston
2,56,DAL,Marshawn Kneeland,DL,Western Michigan
2,57,TAM,Chris Braswell,LB,Alabama
2,58,GNB,Javon Bullard,DB,Georgia
2,59,HOU,Blake Fisher,OL,Notre Dame
2,60,BUF,Cole Bishop,SAF,Utah
2,61,DET,Ennis Rakestraw,DB,Missouri
2,62,BAL,Roger Rosengarten,OL,Washington
2,63,KAN,Kingsley Suamataia,OL,BYU
2,64,SFO,Renardo Green,DB,Florida St.
3,65,NYJ,Malachi Corley,WR,Western Kentucky
3,66,ARI,Trey Benson,RB,Florida St.
3,67,WAS,Brandon Coleman,OL,TCU
3,68,NWE,Caedan Wallace,OL,Penn St.
3,69,LAC,Junior Colson,LB,Michigan
3,70,NYG,Andru Phillips,DB,Kentucky
3,71,ARI,Isaiah Adams,OL,Illinois
3,72,CAR,Trevin Wallace,LB,Kentucky
3,73,DAL,Cooper Beebe,OL,Kansas St.
3,74,ATL,Bralen Trice,DE,Washington
3,75,CHI,Kiran Amegadjie,OL,Yale
3,76,DEN,Jonah Elliss,DE,Utah
3,77,LVR,Delmar Glaze,OL,Maryland
3,78,HOU,Calen Bullock,SAF,USC
3,79,IND,Matt Goncalves,OL,Pittsburgh
3,80,CIN,Jermaine Burton,WR,Alabama
3,81,SEA,Christian Haynes,OL,Connecticut
3,82,ARI,Tip Reiman,TE,Illinois
3,83,LAR,Blake Corum,RB,Michigan
3,84,PIT,Roman Wilson,WR,Michigan
3,85,CLE,Zak Zinter,OL,Michigan
